dist_name,ward_name,population,households,DogPop
Bunda Dc,Butimba,8872,1726,1251.339915
Bunda Dc,Chitengure,12786,2387,1803.385049
Bunda Dc,Hunyari,19240,3067,2713.681241
Bunda Dc,Igundu,13303,2358,1876.304654
Bunda Dc,Iramba,13850,2741,1953.455571
Bunda Dc,Kasuguti,7571,1242,1067.842031
Bunda Dc,Ketare,13047,2286,1840.197461
Bunda Dc,Kibara,13339,2968,1881.382228
Bunda Dc,Kisorya,13445,2798,1896.332863
Bunda Dc,Mihingo,16012,2622,2258.392102
Bunda Dc,Mugeta,20124,3502,2838.363893
Bunda Dc,Namhula,16867,2722,2378.984485
Bunda Dc,Nampindi,10283,1859,1450.352609
Bunda Dc,Nansimo,14599,2890,2059.09732
Bunda Dc,Neruma,10857,1957,1531.311707
Bunda Dc,Nyamang'uta,12324,2210,1738.222849
Bunda Dc,Nyamihyoro,5487,1002,773.9069111
Bunda Dc,Nyamuswa,10347,2233,1459.379408
Bunda Dc,Salama,11469,2186,1617.630465
Bunda Tc,Balili,9282,1976,1309.167842
Bunda Tc,Bunda Mjini,5856,1585,825.9520451
Bunda Tc,Bunda Stoo,22434,4714,3164.174894
Bunda Tc,Guta,21427,3901,3022.143865
Bunda Tc,Kabarimu,14052,3490,1981.946403
Bunda Tc,Kabasa,17498,3140,2467.983075
Bunda Tc,Kunzugu,6368,1081,898.1664316
Bunda Tc,Manyamanyama,8174,1578,1152.891396
Bunda Tc,Mcharo,11690,2013,1648.801128
Bunda Tc,Nyamakokoto,12459,3123,1757.263752
Bunda Tc,Nyasura,19369,4599,2731.875882
Bunda Tc,Nyatwali,7022,1430,990.4090268
Bunda Tc,Sazira,15738,2974,2219.746121
Bunda Tc,Wariku,11601,1942,1636.248237
Butiama,Bisumwa,12153,2259,1714.104372
Butiama,Buhemba,13187,2690,1859.943583
Butiama,Bukwabwa,13765,2574,1941.466855
Butiama,Buruma,21176,3685,2986.74189
Butiama,Busegwe,6978,1279,984.203103
Butiama,Buswahili,15742,3218,2220.310296
Butiama,Butiama,24871,5274,3507.898449
Butiama,Butuguri,10764,1926,1518.19464
Butiama,Bwiregi,13633,2613,1922.849083
Butiama,Kamugegi,9264,1560,1306.629055
Butiama,Kukirango,23270,5130,3282.087447
Butiama,Kyanyari,21886,3814,3086.882934
Butiama,Masaba,17713,3258,2498.307475
Butiama,Mirwa,25390,6065,3581.100141
Butiama,Muriaza,12886,2552,1817.489422
Butiama,Nyamimange,6812,1353,960.7898449
Butiama,Nyankanga,18265,3742,2576.163611
Butiama,Sirorisimba,13901,2742,1960.648801
Musoma,Bugoji,9803,1535,1382.651622
Musoma,Bugwema,15106,2463,2130.606488
Musoma,Bukima,14412,2740,2032.722144
Musoma,Bukumi,18314,3849,2583.074753
Musoma,Bulinga,6695,1119,944.2877292
Musoma,Busambara,10127,1749,1428.349788
Musoma,Bwasi,12072,2202,1702.679831
Musoma,Etaro,14271,3253,2012.834979
Musoma,Ifulifu,7953,1539,1121.720733
Musoma,Kiriba,21166,4247,2985.331453
Musoma,Makojo,11135,1861,1570.521862
Musoma,Mugango,11184,2173,1577.433004
Musoma,Murangi,10742,1940,1515.091678
Musoma,Musanja,11066,1749,1560.789845
Musoma,Nyakatende,15262,3328,2152.609309
Musoma,Nyambono,11993,2063,1691.537377
Musoma,Nyamrandirira,17611,3139,2483.921016
Musoma,Nyegina,9438,1787,1331.170663
Musoma,Rusoli,8940,1448,1260.930889
Musoma,Suguti,16146,2864,2277.291961
Musoma,Tegeruka,13229,2222,1865.867419
Musoma Municipal,Buhare,17101,3789,932.4427481
Musoma Municipal,Bweri,22987,5093,1253.380589
Musoma Municipal,Iringo,4157,1218,226.6630316
Musoma Municipal,Kamunyonge,4060,1169,221.3740458
Musoma Municipal,Kigera,8810,2101,480.3707743
Musoma Municipal,Kitaji,4336,1163,236.4231189
Musoma Municipal,Kwangwa,19372,3998,1056.270447
Musoma Municipal,Makoko,12364,2803,674.1548528
Musoma Municipal,Mshikamano,8280,1863,451.4721919
Musoma Municipal,Mukendo,1882,420,102.6172301
Musoma Municipal,Mwigobero,1834,538,100
Musoma Municipal,Mwisenge,13761,3341,750.3271538
Musoma Municipal,Nyakato,12790,3140,697.3827699
Musoma Municipal,Nyamatare,6416,1658,349.8364231
Musoma Municipal,Nyasho,5243,1409,285.8778626
Musoma Municipal,Rwamlimi,20779,4575,1132.988004
Rorya,Baraki,13259,2169,1870.098731
Rorya,Bukura,20934,4215,2952.609309
Rorya,Bukwe,12757,2711,1799.294781
Rorya,Goribe,12377,2675,1745.698166
Rorya,Ikoma,13953,2904,1967.983075
Rorya,Kigunga,18637,3844,2628.631876
Rorya,Kinyenche,9744,1907,1374.330042
Rorya,Kirogo,9795,1995,1381.523272
Rorya,Kisumwa,16008,3132,2257.827927
Rorya,Kitembe,11617,2532,1638.504937
Rorya,Komuge,17295,3035,2439.351199
Rorya,Koryo,10200,2233,1438.64598
Rorya,Kyang'ombe,13793,2609,1945.416079
Rorya,Kyangasaga,9114,1854,1285.472496
Rorya,Mirare,16586,3620,2339.351199
Rorya,Mkoma,18904,4418,2666.29055
Rorya,Nyaburongo,9176,1958,1294.217207
Rorya,Nyahongo,11923,2512,1681.664316
Rorya,Nyamagaro,16903,3377,2384.062059
Rorya,Nyamtinga,14008,2877,1975.74048
Rorya,Nyamunga,21662,4931,3055.28914
Rorya,Nyathorongo,8779,1948,1238.222849
Rorya,Rabour,13020,2791,1836.389281
Rorya,Raranya,6621,1373,933.8504937
Rorya,Roche,10128,2182,1428.490832
Rorya,Tai,17297,3887,2439.633286
Serengeti,Busawe,7804,1536,1100.705219
Serengeti,Geitasamo,5038,817,710.5782793
Serengeti,Ikoma,6223,1236,877.7150917
Serengeti,Isenye,9814,2037,1384.203103
Serengeti,Kebanchebanche,10437,1660,1472.073343
Serengeti,Kenyamonta,16507,3183,2328.208745
Serengeti,Kisaka,15338,3137,2163.328632
Serengeti,Kisangura,9991,1590,1409.167842
Serengeti,Kyambahi,9665,1615,1363.187588
Serengeti,Machochwe,12677,1917,1788.011283
Serengeti,Magange,9638,1785,1359.379408
Serengeti,Majimoto,12396,2592,1748.377997
Serengeti,Manchira,8960,1691,1263.751763
Serengeti,Matare,4875,893,687.5881523
Serengeti,Mbalibali,15655,2415,2208.039492
Serengeti,Morotonga,5495,1235,775.0352609
Serengeti,Mosongo,16976,2986,2394.358251
Serengeti,Mugumu,13288,3173,1874.188999
Serengeti,Nagusi,5955,991,839.9153738
Serengeti,Natta,20569,3976,2901.12835
Serengeti,Nyamatare,6482,1336,914.2454161
Serengeti,Nyambureti,18500,3538,2609.308886
Serengeti,Nyamoko,9244,1599,1303.808181
Serengeti,Nyansurura,15274,2524,2154.301834
Serengeti,Rigicha,12467,2052,1758.392102
Serengeti,Ring'wani,12508,2014,1764.174894
Serengeti,Rung'abure,12540,1981,1768.688293
Serengeti,Sedeco,14482,1868,2042.595205
Serengeti,Stendi Kuu,13089,3058,1846.121298
Serengeti,Uwanja wa Ndege,8462,1565,1193.511989
Tarime Dc,Binagi,12870,2486,1815.232722
Tarime Dc,Bumera,13075,2614,1844.146685
Tarime Dc,Ganyange,9717,1862,1370.521862
Tarime Dc,Gorong'a,19673,3830,2774.753173
Tarime Dc,Gwitiryo,8296,1655,1170.098731
Tarime Dc,Itiryo,13046,2625,1840.056417
Tarime Dc,Kemambo,29098,6119,4104.090268
Tarime Dc,Kibasuka,24147,4165,3405.782793
Tarime Dc,Kiore,12265,2285,1729.901269
Tarime Dc,Komaswa,9260,1765,1306.06488
Tarime Dc,Kwihancha,13941,2525,1966.29055
Tarime Dc,Manga,10754,1938,1516.784203
Tarime Dc,Matongo,34678,7604,4891.114245
Tarime Dc,Mbogi,11567,2148,1631.45275
Tarime Dc,Muriba,14578,2844,2056.135402
Tarime Dc,Mwema,14957,2907,2109.590973
Tarime Dc,Nyakonga,9215,1840,1299.717913
Tarime Dc,Nyamwaga,21302,4277,3004.513399
Tarime Dc,Nyansicha,9651,1920,1361.212976
Tarime Dc,Nyanungu,16148,3170,2277.574048
Tarime Dc,Nyarero,17071,3137,2407.757405
Tarime Dc,Nyarokoba,12120,2303,1709.449929
Tarime Dc,Pemba,14408,2656,2032.157969
Tarime Dc,Regicheri,9389,1879,1324.25952
Tarime Dc,Sirari,28862,6990,4070.803949
Tarime Dc,Susuni,14760,2913,2081.80536
Tarime Tc,Bomani,7916,2025,1116.502116
Tarime Tc,Kenyamanyori,16123,2998,2274.047955
Tarime Tc,Ketare,12913,2479,1821.297602
Tarime Tc,Nkende,17204,3417,2426.51622
Tarime Tc,Nyamisangura,20120,4859,2837.799718
Tarime Tc,Nyandonto,16170,3270,2280.67701
Tarime Tc,Sabasaba,16316,4239,2301.269394
Tarime Tc,Turwa,26281,5866,3706.770099
